sharp_metric,faith_metric,method,sharpness,faithfulness,dominated_by,on_frontier
spatial_entropy,FaithfulnessEstimate,Gradient,0.9649373292922974,0.384,['MarginPullback'],False
spatial_entropy,FaithfulnessEstimate,Saliency,0.9649373292922974,0.071,"['Deconvolution', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,FaithfulnessEstimate,DistributionPullback,0.9657719135284424,0.281,"['Gradient', 'MarginPullback']",False
spatial_entropy,FaithfulnessEstimate,SoftPullback,0.9658064842224121,0.515,['MarginPullback'],False
spatial_entropy,FaithfulnessEstimate,DoublePullback,0.9667124152183533,0.362,"['Gradient', 'MarginPullback', 'SoftPullback']",False
spatial_entropy,FaithfulnessEstimate,MarginAscent,0.9710930585861206,0.686,[],True
spatial_entropy,FaithfulnessEstimate,PullbackAscent,0.9718440771102905,0.629,['MarginAscent'],False
spatial_entropy,MaxSensitivity,GuidedGradCam,0.8466022610664368,0.189,[],True
spatial_entropy,MaxSensitivity,DeepLift,0.9401608109474182,0.692,['GuidedGradCam'],False
spatial_entropy,MaxSensitivity,Deconvolution,0.9628099203109741,0.181,[],True
spatial_entropy,MaxSensitivity,MarginPullback,0.9632714986801147,0.41,"['Deconvolution', 'GuidedGradCam']",False
spatial_entropy,MaxSensitivity,Gradient,0.9649373292922974,1.03,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,MaxSensitivity,Saliency,0.9649373292922974,0.811,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,MaxSensitivity,DistributionPullback,0.9657719135284424,0.411,"['Deconvolution', 'GuidedGradCam', 'MarginPullback']",False
spatial_entropy,MaxSensitivity,SoftPullback,0.9658064842224121,0.401,"['Deconvolution', 'GuidedGradCam']",False
spatial_entropy,MaxSensitivity,DoublePullback,0.9667124152183533,0.616,"['Deconvolution', 'DistributionPullback', 'GuidedGradCam', 'MarginPullback', 'SoftPullback']",False
spatial_entropy,MaxSensitivity,MarginAscent,0.9710930585861206,1.052,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginPullback', 'Saliency', 'SoftPullback']",False
