method,sample,measure,value
SoftPullback,13,top1pct_mass,0.11177283525466919
SoftPullback,14,top1pct_mass,0.07196283340454102
SoftPullback,15,top1pct_mass,0.11832773685455322
SoftPullback,16,top1pct_mass,0.061978455632925034
SoftPullback,17,top1pct_mass,0.07187467068433762
SoftPullback,18,top1pct_mass,0.06910865753889084
SoftPullback,19,top1pct_mass,0.057750601321458817
SoftPullback,20,top1pct_mass,0.06710471957921982
SoftPullback,21,top1pct_mass,0.07522516697645187
SoftPullback,22,top1pct_mass,0.07355744391679764
SoftPullback,23,top1pct_mass,0.08737172186374664
SoftPullback,24,top1pct_mass,0.07195153087377548
SoftPullback,25,top1pct_mass,0.07639813423156738
SoftPullback,26,top1pct_mass,0.055781543254852295
SoftPullback,27,top1pct_mass,0.054920196533203125
SoftPullback,28,top1pct_mass,0.05392974242568016
SoftPullback,29,top1pct_mass,0.05190807580947876
SoftPullback,30,top1pct_mass,0.06023193150758743
SoftPullback,31,top1pct_mass,0.05370905250310898
SoftPullback,32,top1pct_mass,0.052848346531391144
SoftPullback,33,top1pct_mass,0.12186796963214874
SoftPullback,34,top1pct_mass,0.04950140789151192
SoftPullback,35,top1pct_mass,0.05280661955475807
SoftPullback,36,top1pct_mass,0.05664903298020363
SoftPullback,37,top1pct_mass,0.05563628673553467
SoftPullback,38,top1pct_mass,0.05525237321853638
SoftPullback,39,top1pct_mass,0.0841222032904625
SoftPullback,40,top1pct_mass,0.060242779552936554
SoftPullback,41,top1pct_mass,0.05582056939601898
SoftPullback,42,top1pct_mass,0.05475929006934166
SoftPullback,43,top1pct_mass,0.08991043269634247
SoftPullback,44,top1pct_mass,0.06315066665410995
SoftPullback,45,top1pct_mass,0.06802088767290115
SoftPullback,46,top1pct_mass,0.05226461589336395
SoftPullback,47,top1pct_mass,0.05703924223780632
SoftPullback,48,top1pct_mass,0.08163447678089142
SoftPullback,49,top1pct_mass,0.06229657307267189
SoftPullback,50,top1pct_mass,0.07405156642198563
SoftPullback,51,top1pct_mass,0.06484274566173553
SoftPullback,52,top1pct_mass,0.05978779122233391
SoftPullback,53,top1pct_mass,0.07958284765481949
SoftPullback,54,top1pct_mass,0.06836158037185669
SoftPullback,55,top1pct_mass,0.09870465844869614
SoftPullback,56,top1pct_mass,0.06563033908605576
SoftPullback,57,top1pct_mass,0.06270942836999893
SoftPullback,58,top1pct_mass,0.09236269444227219
SoftPullback,59,top1pct_mass,0.06395577639341354
SoftPullback,60,top1pct_mass,0.05524037033319473
SoftPullback,61,top1pct_mass,0.057907260954380035
SoftPullback,62,top1pct_mass,0.07098408788442612
SoftPullback,63,top1pct_mass,0.07896190881729126
SoftPullback,0,top5pct_mass,0.18948140740394592
SoftPullback,1,top5pct_mass,0.20499089360237122
SoftPullback,2,top5pct_mass,0.167937234044075
SoftPullback,3,top5pct_mass,0.23424586653709412
SoftPullback,4,top5pct_mass,0.1758182793855667
SoftPullback,5,top5pct_mass,0.19222572445869446
SoftPullback,6,top5pct_mass,0.18505024909973145
SoftPullback,7,top5pct_mass,0.2386293113231659
SoftPullback,8,top5pct_mass,0.20120549201965332
SoftPullback,9,top5pct_mass,0.2296123057603836
SoftPullback,10,top5pct_mass,0.19763359427452087
SoftPullback,11,top5pct_mass,0.19011782109737396
SoftPullback,12,top5pct_mass,0.21254391968250275
SoftPullback,13,top5pct_mass,0.33095163106918335
SoftPullback,14,top5pct_mass,0.21530239284038544
SoftPullback,15,top5pct_mass,0.3214462697505951
SoftPullback,16,top5pct_mass,0.2013034075498581
SoftPullback,17,top5pct_mass,0.22021476924419403
SoftPullback,18,top5pct_mass,0.21301615238189697
SoftPullback,19,top5pct_mass,0.19634515047073364
SoftPullback,20,top5pct_mass,0.21284396946430206
SoftPullback,21,top5pct_mass,0.23158179223537445
SoftPullback,22,top5pct_mass,0.22017213702201843
SoftPullback,23,top5pct_mass,0.2553982734680176
SoftPullback,24,top5pct_mass,0.2223130464553833
SoftPullback,25,top5pct_mass,0.2184474766254425
SoftPullback,26,top5pct_mass,0.18231061100959778
SoftPullback,27,top5pct_mass,0.178966224193573
SoftPullback,28,top5pct_mass,0.17923422157764435
SoftPullback,29,top5pct_mass,0.18065737187862396
SoftPullback,30,top5pct_mass,0.1946326345205307
SoftPullback,31,top5pct_mass,0.1800391525030136
